"Stop name","City"
"Marszowicka","Wrocław"
"Maślice Małe","Wrocław"
"Maślicka","Wrocław"
"Maślicka (Staw)","Wrocław"
"Maślicka - Osiedle","Wrocław"
"Metalowców","Wrocław"
"METALOWCÓW (Ośrodek sportu)","Wrocław"
"Michałowice","Wrocław"
"Michałowice Skrzyżowanie","Wrocław"
"Mickiewicza","Wrocław"
"Mielecka","Wrocław"
"Międzyrzecka","Wrocław"
"Mikołowska","Wrocław"
"Miłoszycka","Wrocław"
"Miłoszyn","Wrocław"
"MIŃSKA (Rondo Rotm. Pileckiego)","Wrocław"
"Miodowa","Wrocław"
"Mirków - Jagiellońska","Wrocław"
"Mirków - Sportowa","Wrocław"
"Mirków - stadion","Wrocław"
"Mirków - Wolności","Wrocław"
"Młodych Techników","Wrocław"
"Mochnackiego","Wrocław"
"Modra","Wrocław"
"Mokra","Wrocław"
"Mokronoska","Wrocław"
"Mokronos Dolny Parkowa/Stawowa","Wrocław"
"MOKRY DWÓR","Wrocław"
"Mokrzańska","Wrocław"
"Moniuszki","Wrocław"
"Monopolowa","Wrocław"
"Monte Cassino","Wrocław"
"Morelowskiego","Wrocław"
"Morwowa","Wrocław"
"Mostostal","Wrocław"
"mosty Mieszczańskie","Wrocław"
"Mosty Warszawskie","Wrocław"
"most Grunwaldzki","Wrocław"
"Most Milenijny","Wrocław"
"Most Muchoborski","Wrocław"
"most Osobowicki","Wrocław"
"Most Rakowiecki","Wrocław"
"Mroźna","Wrocław"
"MUCHOBÓR MAŁY (stacja kolejowa)","Wrocław"
"Muchobór Wielki","Wrocław"
"Muchobór Wielki (pętla)","Wrocław"
"Mydlana","Wrocław"
"Mydlice I","Wrocław"
"Mydlice II","Wrocław"
"Na Grobli","Wrocław"
"Na Grobli 22","Wrocław"
"Na Niskich Łąkach","Wrocław"
"Na Ostatnim Groszu","Wrocław"
"Na Szańcach","Wrocław"
"Niedziałkowskiego","Wrocław"
"Niedźwiedzia","Wrocław"
"Norwida","Wrocław"
"Nowodworska","Wrocław"
"Nowowiejska","Wrocław"
"Nowy Dom","Wrocław"
"Nowy Dwór","Wrocław"
"NOWY DWÓR (Pętla)","Wrocław"
"Nowy Dwór (Rogowska)","Wrocław"
"Nowy Dwór (Stacja kolejowa)","Wrocław"
"Nyska","Wrocław"
"NYSKA","Wrocław"
"Obornicka (Obwodnica)","Wrocław"
"Oboźna","Wrocław"
"Odolanowska","Wrocław"
"Odrodzenia Polski","Wrocław"
"Ogród Botaniczny","Wrocław"
"Ojca Beyzyma","Wrocław"
"Okrzei","Wrocław"
"Oleśniczka","Wrocław"
"Oleśniczka - skrzy.","Wrocław"
"Oleśniczka - skrzyżowanie","Wrocław"
"Olsztyńska","Wrocław"
"Oławska","Wrocław"
"Ołtaszyn","Wrocław"
"OPATOWICE","Wrocław"
"Opatowicka nr 127","Wrocław"
"Opatowicka nr 59","Wrocław"
"Opatowicka nr 69","Wrocław"
"Opatowicka nr 85","Wrocław"
"Opera","Wrocław"
"OPORÓW","Wrocław"
"Orla","Wrocław"
"Orląt Lwowskich","Wrocław"
"Orlińskiego","Wrocław"
"Orzechowa","Wrocław"
"OSIEDLE SOBIESKIEGO (Pętla)","Wrocław"
"OSIEDLE SOBIESKIEGO (Pętla)","Wrocław"
"Osiniecka","Wrocław"
"OSOBOWICE","Wrocław"
"OSOBOWICE (Stacja kolejowa)","Wrocław"
"OSOBOWICKA (Cmentarz)","Wrocław"
"OSOBOWICKA (Cmentarz II)","Wrocław"
"Ossolineum","Wrocław"
"Ostowa","Wrocław"
"Ostrowskiego","Wrocław"
"Os. Przyjaźni","Wrocław"
"Owczarska","Wrocław"
"Ozorzyce-Krasińskiego","Wrocław"
"Ożynowa","Wrocław"
"Palacha","Wrocław"
"Paprotna","Wrocław"
"Parafialna","Wrocław"
"Park Brochowski","Wrocław"
"PARK POŁUDNIOWY","Wrocław"
"Park Stabłowicki","Wrocław"
"Park Staromiejski","Wrocław"
"Park Szczytnicki","Wrocław"
"Park Tysiąclecia","Wrocław"
"Park Wschodni","Wrocław"
"Park Zachodni","Wrocław"
"Partynice","Wrocław"
"Partynicka","Wrocław"
"Partyzantów","Wrocław"
"Pasikurowice-cmentarz","Wrocław"
"Pasikurowice-Energetyczna","Wrocław"
"Pasikurowice-Malinowa","Wrocław"
"Pasikurowice - cmentarz","Wrocław"
"Pasikurowice - Energetyczna","Wrocław"
"Pasikurowice - n/ż","Wrocław"
"Pasikurowice - skrzy. Malinowa","Wrocław"
"Pasikurowice - Wrocławska (na wys. nr 14)","Wrocław"
"Paulińska","Wrocław"
"Pawłowice","Wrocław"
"Pawłowice","Wrocław"
"PAWŁOWICE (Widawska)","Wrocław"
"Pawłowicka","Wrocław"
"Pereca","Wrocław"
"PETRUSEWICZA","Wrocław"
"Piastowska","Wrocław"
"PIECOWICE","Wrocław"
"Pietrzykowice","Wrocław"
"Pietrzykowice-zakład","Wrocław"
"Pietrzykowice Wrocławska/Stawowa","Wrocław"
"PILCZYCE","Wrocław"
"Pilczycka (Anima)","Wrocław"
"Piłsudskiego","Wrocław"
"Piołunowa","Wrocław"
"Piramowicza","Wrocław"
"Pisarzowice","Wrocław"
"Pisarzowice - Baza","Wrocław"
"Pisarzowice - Graniczna","Wrocław"
"Pisarzowice - Kolejowa","Wrocław"
"Pisarzowice - Odrzańska","Wrocław"
"Pisarzowice - Szkolna","Wrocław"
"Pisarzowice - ul. Kolejowa","Wrocław"
"Pisarzowice - Wrocławska","Wrocław"
"Piwnika - Ponurego","Wrocław"
"pl. Bema","Wrocław"
"PL. DANIŁOWSKIEGO","Wrocław"
"pl. Grunwaldzki","Wrocław"
"PL. GRUNWALDZKI","Wrocław"
"Pl. Hirszfelda","Wrocław"
"PL. JANA PAWŁA II","Wrocław"
"pl. Legionów","Wrocław"
"pl. Nowy Targ","Wrocław"
"pl. Orląt Lwowskich","Wrocław"
"Pl. SOLIDARNOŚCI","Wrocław"
"PL. STASZICA","Wrocław"
"pl. Strzegomski (Muzeum Współczesne)","Wrocław"
"pl. Wróblewskiego","Wrocław"
"pl. Zgody","Wrocław"
"Płońskiego","Wrocław"
"Poczta Główna","Wrocław"
"POCZTA POLSKA","Wrocław"
"Podwale","Wrocław"
"Pola","Wrocław"
"POLANOWICE","Wrocław"
"Polanowicka","Wrocław"
"Poleska","Wrocław"
"Politechnika Wrocławska","Wrocław"
"Polkowicka","Wrocław"
"Połabian","Wrocław"
"Pomorska","Wrocław"
"Popowice","Wrocław"
"POPOWICE (Stacja kolejowa)","Wrocław"
"Poprzeczna","Wrocław"
"PORT LOTNICZY","Wrocław"
"Poświęcka","Wrocław"
"POŚWIĘCKA (Ośrodek zdrowia)","Wrocław"
"POŚWIĘTNE","Wrocław"
"Poznańska","Wrocław"
"Północna","Wrocław"
"PRACZE ODRZAŃSKIE","Wrocław"
"PRACZE ODRZAŃSKIE (Stacja kolejowa)","Wrocław"
"Pracze Widawskie","Wrocław"
"Pretficza","Wrocław"
"Prudnicka","Wrocław"
"Prusa","Wrocław"
"Pruszowice","Wrocław"
"Pruszowice - las","Wrocław"
"Pruszowice - wieś","Wrocław"
"Przebiśniegowa","Wrocław"
"Przedwiośnie (Stacja kolejowa)","Wrocław"
"Przedwiośnie (Stacja kolejowa)","Wrocław"
"Przybyły","Wrocław"
"Przybyszewskiego","Wrocław"
"Przyjaźni","Wrocław"
"Przystankowa","Wrocław"
"PSARY","Wrocław"
"Psary - Parkowa","Wrocław"
"Psary - Szkoła","Wrocław"
"Psie Pole","Wrocław"
"Psie Pole (Gorlicka)","Wrocław"
"Psie Pole (Rondo)","Wrocław"
"Psie Pole (Rondo)","Wrocław"
"Psie Pole (Rondo)","Wrocław"
"Psie Pole (stacja kolejowa)","Wrocław"
"PSIE POLE (Stacja kolejowa)","Wrocław"
"Psie Pole (Sycowska)","Wrocław"
"Pułaskiego","Wrocław"
"PUŁTUSKA","Wrocław"
"Pustecka","Wrocław"
"Racławicka","Wrocław"
"Racławicka (Gimnazjum nr 23)","Wrocław"
"RACŁAWICKA (pętla)","Wrocław"
"Radakowice - Świetlica","Wrocław"
"Radio i Telewizja","Wrocław"
"Radomierzyce","Wrocław"
"Radwanice - Dębowa","Wrocław"
"Radwanice - Mickiewicza","Wrocław"
"Radwanice - Poprzeczna","Wrocław"
"Radwanice - Skrajna","Wrocław"
"Radwanice - szkoła","Wrocław"
"Rakowiecka","Wrocław"
"Raków","Wrocław"
"Raków I","Wrocław"
"Raków II","Wrocław"
"Raków III","Wrocław"
"Raków IV","Wrocław"
"Raków - osiedle","Wrocław"
"Raków - skrzy.","Wrocław"
"Raków - skrzyżowanie","Wrocław"
"Raków - zakład","Wrocław"
"Ramiszów","Wrocław"
"Ramiszów-kolonia","Wrocław"
"RATYŃ","Wrocław"
"Ratyń - skrzyżowanie","Wrocław"
"Rdestowa","Wrocław"
"Redycka","Wrocław"
"Reja","Wrocław"
"Renoma","Wrocław"
"RĘDZIN","Wrocław"
"RĘDZIŃSKA","Wrocław"
