"Stop name","City"
"Małomiejska","Gdańsk"
"Marsa","Gdańsk"
"Marynarki Polskiej","Gdańsk"
"Marynarska","Gdańsk"
"Matarnia PKM","Gdańsk"
"Matejki","Gdańsk"
"Matemblewo","Gdańsk"
"Mazurska","Gdańsk"
"Meczet","Gdańsk"
"Meissnera","Gdańsk"
"Meteorytowa","Gdańsk"
"Miałki Szlak","Gdańsk"
"Michałki","Gdańsk"
"Mickiewicza","Gdańsk"
"Miedza","Gdańsk"
"Migowo","Gdańsk"
"Miszewo","Gdańsk"
"Miszewo Pępowo","Gdańsk"
"Miszewskiego","Gdańsk"
"Mjr Hubala","Gdańsk"
"Mjr Słabego","Gdańsk"
"Modra I","Gdańsk"
"Modra II","Gdańsk"
"Modra III","Gdańsk"
"Modra IV","Gdańsk"
"Montażystów","Gdańsk"
"Mostek","Gdańsk"
"Mostostal","Gdańsk"
"Mostowa","Gdańsk"
"Muzeum II Wojny Światowej","Gdańsk"
"Muzeum Narodowe","Gdańsk"
"Myśliborska","Gdańsk"
"Myśliwska","Gdańsk"
"Na Szańcach","Gdańsk"
"Na Wzgórzu","Gdańsk"
"Na Zaspę","Gdańsk"
"Nabrzeże Przemysłowe","Gdańsk"
"Nabrzeże Zbożowe","Gdańsk"
"Nad Jarem","Gdańsk"
"Nad Stawem","Gdańsk"
"Nadwiślańska","Gdańsk"
"Nadwodna","Gdańsk"
"Naftowa","Gdańsk"
"Narodowe Centrum Żeglarstwa","Gdańsk"
"Niedziałkowskiego","Gdańsk"
"Niedźwiednik","Gdańsk"
"Niegowska","Gdańsk"
"Niepołomicka","Gdańsk"
"Niestępowo Do Zdroju","Gdańsk"
"Niestępowo Gdańska","Gdańsk"
"Niestępowo Sulmińska","Gdańsk"
"Niestępowo Szkoła","Gdańsk"
"Norblina","Gdańsk"
"Nowa","Gdańsk"
"Nowa Gdańska","Gdańsk"
"Nowatorów","Gdańsk"
"Nowe Ogrody","Gdańsk"
"Nowiny","Gdańsk"
"Nowolipie","Gdańsk"
"Nowy Port Góreckiego","Gdańsk"
"Nowy Port Oliwska","Gdańsk"
"Nowy Port Szaniec Zachodni","Gdańsk"
"Nowy Port Zajezdnia","Gdańsk"
"Nowy Świat","Gdańsk"
"Obrońców Westerplatte","Gdańsk"
"Obrońców Wybrzeża","Gdańsk"
"Oczyszczalnia","Gdańsk"
"Odrzańska","Gdańsk"
"Ogrodowa","Gdańsk"
"Ogrody Działkowe Rębiechowo I","Gdańsk"
"Ogrody Działkowe Rębiechowo II","Gdańsk"
"Ogrody Działkowe Rębiechowo III","Gdańsk"
"Ogrody Działkowe Rębiechowo I","Gdańsk"
"Ogrody Działkowe Rębiechowo II","Gdańsk"
"Ogrody Działkowe Rębiechowo III","Gdańsk"
"Okopowa","Gdańsk"
"Olimpijska","Gdańsk"
"Oliwa","Gdańsk"
"Oliwa Pętla Tramwajowa","Gdańsk"
"Oliwa PKP","Gdańsk"
"Oliwa ZOO","Gdańsk"
"Olsztyńska","Gdańsk"
"Olszynka - Niwki","Gdańsk"
"Olszynka - Szkoła","Gdańsk"
"Olszyńska","Gdańsk"
"Opacka","Gdańsk"
"Opera Bałtycka","Gdańsk"
"Opolska","Gdańsk"
"Oriona","Gdańsk"
"Orlinki","Gdańsk"
"Ornitologów","Gdańsk"
"Orunia Górna","Gdańsk"
"Osiedle Barniewice","Gdańsk"
"Osiedle Jary","Gdańsk"
"Osiedle Świętokrzyskie","Gdańsk"
"Osiedle Wejhera","Gdańsk"
"Osowa - Obwodnica","Gdańsk"
"Osowa Obwodnica","Gdańsk"
"Osowa PKP","Gdańsk"
"Osowa Przesypownia","Gdańsk"
"Ostroroga","Gdańsk"
"Ostróżek","Gdańsk"
"Otomin - Pętla","Gdańsk"
"Otomin Dziewicza","Gdańsk"
"Otomin Sarnia","Gdańsk"
"Otomińska","Gdańsk"
"Otwarta","Gdańsk"
"Owczarnia","Gdańsk"
"Pagórkowa","Gdańsk"
"Park Naukowo - Technologiczny","Gdańsk"
"Park Reagana","Gdańsk"
"Paska","Gdańsk"
"Pastelowa","Gdańsk"
"Pawia","Gdańsk"
"PCK","Gdańsk"
"Piastowska","Gdańsk"
"Piecewska","Gdańsk"
"Piekarnicza","Gdańsk"
"Pilotów","Gdańsk"
"Plac Komorowskiego","Gdańsk"
"Plac Solidarności","Gdańsk"
"Plac Wolności","Gdańsk"
"Platynowa","Gdańsk"
"Płocka","Gdańsk"
"Płońska","Gdańsk"
"Płowce","Gdańsk"
"Podkarpacka","Gdańsk"
"Pohulanka","Gdańsk"
"Pokładowa","Gdańsk"
"Pole Namiotowe","Gdańsk"
"Politechnika","Gdańsk"
"Politechnika SKM","Gdańsk"
"Pomorska","Gdańsk"
"Pomorska - Kapliczna","Gdańsk"
"Pomorska - Osiedle","Gdańsk"
"Pomorskie Szkoły Rzemiosł","Gdańsk"
"Porębskiego","Gdańsk"
"Port Lotniczy","Gdańsk"
"Potokowa","Gdańsk"
"Potokowa - Matemblewska","Gdańsk"
"Powstańców Warszawskich","Gdańsk"
"Poznańska","Gdańsk"
"Pólnicy","Gdańsk"
"Pruszcz Gdański 1 Maja","Gdańsk"
"Pruszcz Gdański 49 Baza Lotnicza","Gdańsk"
"Pruszcz Gdański Aeroklub Gdański","Gdańsk"
"Pruszcz Gdański Azaliowa","Gdańsk"
"Pruszcz Gdański Batalionów Chłopskich","Gdańsk"
"Pruszcz Gdański Broniewskiego","Gdańsk"
"Pruszcz Gdański Chopina","Gdańsk"
"Pruszcz Gdański Cicha (Cmentarz)","Gdańsk"
"Pruszcz Gdański Cyprysowa","Gdańsk"
"Pruszcz Gdański Dąbrowskiego","Gdańsk"
"Pruszcz Gdański Drzymały","Gdańsk"
"Pruszcz Gdański Emilii Plater","Gdańsk"
"Pruszcz Gdański Fabryczny","Gdańsk"
"Pruszcz Gdański Faktoria","Gdańsk"
"Pruszcz Gdański Komarowo","Gdańsk"
"Pruszcz Gdański Matejki","Gdańsk"
"Pruszcz Gdański Niemcewicza","Gdańsk"
"Pruszcz Gdański Nowowiejskiego","Gdańsk"
"Pruszcz Gdański Obrońców Westerplatte","Gdańsk"
"Pruszcz Gdański Obrońców Wybrzeża","Gdańsk"
"Pruszcz Gdański Osiedle Bursztynowe","Gdańsk"
"Pruszcz Gdański Osiedle Kasprowicza","Gdańsk"
"Pruszcz Gdański Osiedle Piastowskie","Gdańsk"
"Pruszcz Gdański Osiedle Wschód","Gdańsk"
"Pruszcz Gdański Pogotowie Ratunkowe","Gdańsk"
"Pruszcz Gdański Powstańców Warszawy","Gdańsk"
"Pruszcz Gdański Przemysłowa","Gdańsk"
"Pruszcz Gdański Radunica","Gdańsk"
"Pruszcz Gdański Reymonta","Gdańsk"
"Pruszcz Gdański Rogozińskiego","Gdańsk"
"Pruszcz Gdański Rondo Bursztynowe","Gdańsk"
